Broadcast_Year,Broadcast_Quarter,Market,Service_Type,Broadcast_Language,Total_Quarterly_Hours
2024,1,Atlantic,Conventional ,French,9475961
2024,1,Atlantic,Conventional ,English,198806324
2024,1,Atlantic,Discretionary & On-Demand,French,7776876
2024,1,Atlantic,Discretionary & On-Demand,English,365132717
2024,1,Atlantic,Non-Canadian & Other,English,93485170
2024,1,Central,Conventional ,French,347327
2024,1,Central,Conventional ,English,152272544
2024,1,Central,Discretionary & On-Demand,English,372255622
2024,1,Central,Discretionary & On-Demand,French,882573
2024,1,Central,Non-Canadian & Other,English,74612276
2024,1,Ontario,Conventional ,French,20621448
2024,1,Ontario,Conventional ,English,747831484
2024,1,Ontario,Discretionary & On-Demand,French,23142342
2024,1,Ontario,Discretionary & On-Demand,English,1902234163
2024,1,Ontario,Non-Canadian & Other,English,398960406
2024,1,Quebec,Conventional ,French,1190236088
2024,1,Quebec,Conventional ,English,87113172
2024,1,Quebec,Discretionary & On-Demand,French,1087907109
2024,1,Quebec,Discretionary & On-Demand,English,160822631
2024,1,Quebec,Non-Canadian & Other,English,61598651
2024,1,West,Conventional ,English,597000847
2024,1,West,Conventional ,French,570592
2024,1,West,Discretionary & On-Demand,English,1151501136
2024,1,West,Discretionary & On-Demand,French,1057912
2024,1,West,Non-Canadian & Other,English,292988505
2024,2,Atlantic,Conventional ,French,9073922
2024,2,Atlantic,Conventional ,English,203865723
2024,2,Atlantic,Discretionary & On-Demand,French,9043427
2024,2,Atlantic,Discretionary & On-Demand,English,363609402
2024,2,Atlantic,Non-Canadian & Other,English,99770539
2024,2,Central,Conventional ,French,873510
2024,2,Central,Conventional ,English,169362933
2024,2,Central,Discretionary & On-Demand,English,372746542
2024,2,Central,Discretionary & On-Demand,French,837790
2024,2,Central,Non-Canadian & Other,English,71408575
2024,2,Ontario,Conventional ,French,20960803
2024,2,Ontario,Conventional ,English,834171864
2024,2,Ontario,Discretionary & On-Demand,French,22309621
2024,2,Ontario,Discretionary & On-Demand,English,1879391275
2024,2,Ontario,Non-Canadian & Other,English,390793841
2024,2,Quebec,Conventional ,French,1243866845
2024,2,Quebec,Conventional ,English,100781824
2024,2,Quebec,Discretionary & On-Demand,French,1169221634
2024,2,Quebec,Discretionary & On-Demand,English,161317707
2024,2,Quebec,Non-Canadian & Other,English,61869873
2024,2,West,Conventional ,French,1233099
2024,2,West,Conventional ,English,585115908
2024,2,West,Discretionary & On-Demand,French,1394498
2024,2,West,Discretionary & On-Demand,English,1154200080
2024,2,West,Non-Canadian & Other,English,240845157
2024,3,Atlantic,Conventional ,French,8328797
2024,3,Atlantic,Conventional ,English,205971018
2024,3,Atlantic,Discretionary & On-Demand,French,8635811
